name,country,position,club,probability,popularity,price,points,ID,young,weekday
JUERGEN ELITIM,KOLUMBIA,POMOCNIK,LEGIA WARSZAWA,0.589519651,27,2.2,0,2211,False,10
ELIAS ANDERSSON,SZWECJA,OBROŃCA,LECH POZNAŃ,0.474741550,323,1.9,9,2209,False,10
MARTIN REMACLE,BELGIA,POMOCNIK,KORONA KIELCE,0.255333969,370,1.8,19,2208,False,10
SZYMON GAŁĄZKA,POLSKA,POMOCNIK,KORONA KIELCE,0.255333969,103,0.7,0,2207,True,10
ADRIÁN DALMAU,HISZPANIA,NAPASTNIK,KORONA KIELCE,0.255333969,676,1.8,31,2206,False,10
AFIMICO PULULU,ANGOLA,NAPASTNIK,JAGIELLONIA BIAŁYSTOK,0.278018599,14167,2.4,26,2205,False,10
MAREK MRÓZ,POLSKA,POMOCNIK,KGHM ZAGŁĘBIE LUBIN,0.420524919,78,1.7,24,2200,False,10
LUÍS SILVA,PORTUGALIA,OBROŃCA,WIDZEW ŁÓDŹ,0.367108648,80,1.8,7,2199,False,10
JAN KRZYWAŃSKI,POLSKA,BRAMKARZ,WIDZEW ŁÓDŹ,0.367108648,708,0.8,0,2198,True,10
ANTONI KLIMEK,POLSKA,POMOCNIK,WIDZEW ŁÓDŹ,0.367108648,435,1.8,20,2197,False,10
KRZYSZTOF WOŁKOWICZ,POLSKA,OBROŃCA,PGE FKS STAL MIELEC,0.213900774,52,1.7,9,2196,False,10
JOÃO GAMBOA,PORTUGALIA,POMOCNIK,POGOŃ SZCZECIN,0.421097570,64,1.8,17,2192,False,10
RADOVAN PANKOV,SERBIA,OBROŃCA,LEGIA WARSZAWA,0.589519651,1166,2,16,2191,False,10
ADRIÁN DIÉGUEZ,HISZPANIA,OBROŃCA,JAGIELLONIA BIAŁYSTOK,0.278018599,2815,2.1,18,2189,False,10
MATEUSZ KOWALCZYK,POLSKA,POMOCNIK,GKS KATOWICE,0.306993713,922,1.6,25,2176,True,10
ROK KIDRIČ,SŁOWENIA,NAPASTNIK,PUSZCZA NIEPOŁOMICE,0.116303256,17,1.7,0,2167,False,10
HUBERT TOMALSKI,POLSKA,POMOCNIK,PUSZCZA NIEPOŁOMICE,0.116303256,30,1.6,6,2166,False,10
MARCEL PIĘCZEK,POLSKA,OBROŃCA,KORONA KIELCE,0.255333969,75,1.8,25,2163,False,10
KONRAD STĘPIEŃ,POLSKA,POMOCNIK,PUSZCZA NIEPOŁOMICE,0.116303256,221,1.6,30,2161,False,10
ROMAN JAKUBA,UKRAINA,OBROŃCA,PUSZCZA NIEPOŁOMICE,0.116303256,1240,2,32,2160,False,10
FILIP GIL,POLSKA,OBROŃCA,PUSZCZA NIEPOŁOMICE,0.116303256,932,0.7,0,2158,True,10
KEWIN KOMAR,POLSKA,BRAMKARZ,PUSZCZA NIEPOŁOMICE,0.116303256,1975,1.7,31,2155,True,10
TOMASZ WÓJTOWICZ,POLSKA,POMOCNIK,LECHIA GDAŃSK,0.360182070,23,1.8,8,2150,True,10
BARTOSZ TOMASZEWSKI,POLSKA,OBROŃCA,LECH POZNAŃ,0.474741550,201,0.7,0,2134,True,10
HUBERT MUSZYŃSKI,POLSKA,OBROŃCA,ŚLĄSK WROCŁAW,0.340314136,188,1.3,0,2124,False,10
MICHAŁ GURGUL,POLSKA,OBROŃCA,LECH POZNAŃ,0.474741550,2427,1.7,39,2123,True,10
ŁUKASZ GERSTENSTEIN,POLSKA,OBROŃCA,ŚLĄSK WROCŁAW,0.340314136,574,1.6,3,2119,True,10
JAKUB BUREK,POLSKA,BRAMKARZ,CRACOVIA,0.531730738,467,0.7,0,2114,True,10
JAKUB KONSTANTYN,POLSKA,POMOCNIK,KORONA KIELCE,0.255333969,163,1.2,0,2112,False,10
CAMILO MENA,KOLUMBIA,POMOCNIK,LECHIA GDAŃSK,0.360182070,2519,1.9,36,2110,False,10
DANIJEL LONČAR,CHORWACJA,OBROŃCA,POGOŃ SZCZECIN,0.421097570,49,1.7,1,2107,False,10
MICHAL SÁČEK,CZECHY,OBROŃCA,JAGIELLONIA BIAŁYSTOK,0.278018599,2649,2,23,2104,False,10
KAMIL SOBERKA,POLSKA,BRAMKARZ,GÓRNIK ZABRZE,0.174672489,603,0.7,0,2103,True,10
DUŠAN STOJINOVIĆ,SŁOWENIA,OBROŃCA,JAGIELLONIA BIAŁYSTOK,0.278018599,47,1.7,8,2100,False,10
KACPER ŚMIGLEWSKI,POLSKA,NAPASTNIK,CRACOVIA,0.531730738,20,1.5,0,2096,True,10
JAN ZIÓŁKOWSKI,POLSKA,OBROŃCA,LEGIA WARSZAWA,0.589519651,2925,1.7,19,2095,True,10
FILIP REJCZYK,POLSKA,POMOCNIK,ŚLĄSK WROCŁAW,0.340314136,853,1,3,2094,True,10
ADRIAN PRZYBOREK,POLSKA,POMOCNIK,POGOŃ SZCZECIN,0.421097570,940,1.8,13,2092,True,10
CHRÍSTOS DÓNIS,GRECJA,POMOCNIK,RADOMIAK RADOM,0.305219699,9,1.8,8,2090,False,10
MATEUSZ BOCHNAK,POLSKA,POMOCNIK,CRACOVIA,0.531730738,44,1.7,15,2089,False,10
JANI ATANASOV,MACEDONIA,POMOCNIK,CRACOVIA,0.531730738,149,2,13,2088,False,10
ARTTU HOSKONEN,FINLANDIA,OBROŃCA,CRACOVIA,0.531730738,51,1.8,7,2087,False,10
MARCUS GODINHO,KANADA,OBROŃCA,KORONA KIELCE,0.255333969,16,1.8,0,2085,False,10
AURÉLIEN NGUIAMBA,FRANCJA,POMOCNIK,JAGIELLONIA BIAŁYSTOK,0.278018599,393,1.5,16,2083,False,10
LEONARDO ROCHA,PORTUGALIA,NAPASTNIK,RADOMIAK RADOM,0.305219699,20519,2,57,2082,False,10
FRANCISCO RAMOS,PORTUGALIA,POMOCNIK,RADOMIAK RADOM,0.305219699,63,1.9,2,2080,False,10
JEAN FRANCO SARMIENTO,KOLUMBIA,NAPASTNIK,RADOMIAK RADOM,0.305219699,54,1.8,2,2076,False,10
MACIEJ KOWAL,POLSKA,BRAMKARZ,POGOŃ SZCZECIN,0.421097570,235,0.9,0,2074,True,10
LINUS WAHLQVIST,SZWECJA,OBROŃCA,POGOŃ SZCZECIN,0.421097570,4094,2.1,32,2073,False,10
LEONÁRDO KOÚTRIS,GRECJA,OBROŃCA,POGOŃ SZCZECIN,0.421097570,13118,2.2,40,2071,False,10
BARTŁOMIEJ JELONEK,POLSKA,BRAMKARZ,PIAST GLIWICE,0.447992056,1082,0.7,0,2070,False,10
SZCZEPAN MUCHA,POLSKA,NAPASTNIK,PIAST GLIWICE,0.447992056,280,1,2,2069,True,10
DOMINICK ZATOR,POLSKA,OBROŃCA,KORONA KIELCE,0.255333969,92,1.8,1,2067,False,10
NONO,HISZPANIA,POMOCNIK,KORONA KIELCE,0.255333969,53,2,0,2066,False,10
PIOTR LISZEWSKI,POLSKA,OBROŃCA,PIAST GLIWICE,0.447992056,837,0.7,0,2063,True,10
MATEUSZ STAWNY,POLSKA,OBROŃCA,ŚLĄSK WROCŁAW,0.340314136,504,0.7,0,2061,True,10
JAKUB KOLAN,POLSKA,OBROŃCA,KGHM ZAGŁĘBIE LUBIN,0.420524919,1175,0.7,0,2059,True,10
JÓZEF KOLASA,POLSKA,POMOCNIK,RADOMIAK RADOM,0.305219699,523,0.7,0,2057,True,10
MATEUSZ KEMPSKI,POLSKA,NAPASTNIK,WIDZEW ŁÓDŹ,0.367108648,527,0.7,0,2056,True,10
SEBASTIAN MADEJSKI,POLSKA,BRAMKARZ,CRACOVIA,0.531730738,209,1.9,0,2053,False,10
RAFAŁ MAMLA,POLSKA,BRAMKARZ,KORONA KIELCE,0.255333969,2562,0.7,0,2052,True,10
DAWID KURMINOWSKI,POLSKA,NAPASTNIK,KGHM ZAGŁĘBIE LUBIN,0.420524919,1744,2.1,17,2047,False,10
DAWID DRACHAL,POLSKA,POMOCNIK,RAKÓW CZĘSTOCHOWA,0.676373548,1307,1.8,22,2046,True,10
OSKAR LEŚNIAK,POLSKA,POMOCNIK,PIAST GLIWICE,0.447992056,870,0.7,0,2032,True,10
GUSTAV BERGGREN,SZWECJA,POMOCNIK,RAKÓW CZĘSTOCHOWA,0.676373548,1432,1.8,42,2030,False,10
FILIP DAGERSTAL,SZWECJA,OBROŃCA,LECH POZNAŃ,0.474741550,21,1.9,0,2026,False,10
JAKUB LEWICKI,POLSKA,OBROŃCA,PIAST GLIWICE,0.447992056,267,1.6,0,2016,True,10
KRYSTIAN OKONIEWSKI,POLSKA,NAPASTNIK,PUSZCZA NIEPOŁOMICE,0.116303256,1139,0.7,2,2012,True,10
SAÏD HAMULIC,HOLANDIA,NAPASTNIK,WIDZEW ŁÓDŹ,0.367108648,82,2,2,2010,False,10
KACPER TERLECKI,POLSKA,POMOCNIK,KGHM ZAGŁĘBIE LUBIN,0.420524919,194,0.7,0,2008,True,10
MICHAŁ MATYS,POLSKA,BRAMKARZ,KGHM ZAGŁĘBIE LUBIN,0.420524919,1038,0.7,0,2007,True,10
LÉO BORGES,BRAZYLIA,OBROŃCA,POGOŃ SZCZECIN,0.421097570,334,1.7,30,2002,False,10
MIŁOSZ STRZEBOŃSKI,POLSKA,POMOCNIK,KORONA KIELCE,0.255333969,769,0.7,2,1994,True,10
JAKUB LIS,POLSKA,OBROŃCA,POGOŃ SZCZECIN,0.421097570,875,0.7,4,1982,False,10
BENJAMIN KÄLLMAN,FINLANDIA,NAPASTNIK,CRACOVIA,0.531730738,17763,2.4,53,1971,False,10
AFONSO SOUSA,PORTUGALIA,POMOCNIK,LECH POZNAŃ,0.474741550,13917,2.1,53,1964,False,10
JEWGIENIJ SZYKAWKA,BIAŁORUŚ,NAPASTNIK,KORONA KIELCE,0.255333969,500,1.9,18,1954,False,10
HENRICH RAVAS,SŁOWACJA,BRAMKARZ,CRACOVIA,0.531730738,2795,1.9,33,1948,False,10
FABIO NUNES,PORTUGALIA,POMOCNIK,WIDZEW ŁÓDŹ,0.367108648,176,1.9,0,1946,False,10
MAREK HANOUSEK,CZECHY,POMOCNIK,WIDZEW ŁÓDŹ,0.367108648,186,1.8,16,1944,False,10
KRISTOFFER HANSEN,DANIA,POMOCNIK,JAGIELLONIA BIAŁYSTOK,0.278018599,2099,2.1,35,1943,False,10
FILIP ZAWADZKI,POLSKA,POMOCNIK,WIDZEW ŁÓDŹ,0.367108648,130,0.7,0,1942,True,10
HUBERT SZULC,POLSKA,NAPASTNIK,KORONA KIELCE,0.255333969,531,0.7,0,1936,True,10
JULJAN SHEHU,ALBANIA,POMOCNIK,WIDZEW ŁÓDŹ,0.367108648,28,1.6,15,1935,False,10
STEVE KAPUADI,FRANCJA,OBROŃCA,LEGIA WARSZAWA,0.589519651,1101,1.9,18,1931,False,10
STRATOS SVARNAS,GRECJA,OBROŃCA,RAKÓW CZĘSTOCHOWA,0.676373548,987,2,30,1928,False,10
ROBERTO ALVES,SZWAJCARIA,POMOCNIK,RADOMIAK RADOM,0.305219699,137,1.9,13,1926,False,10
GABRIEL KOBYLAK,POLSKA,BRAMKARZ,LEGIA WARSZAWA,0.589519651,77,1.8,1,1925,False,10
DOMINIK PIŁA,POLSKA,OBROŃCA,LECHIA GDAŃSK,0.360182070,258,1.6,12,1922,False,10
RUI FILIPE NENE,PORTUGALIA,POMOCNIK,JAGIELLONIA BIAŁYSTOK,0.278018599,3934,2.5,18,1920,False,10
PAWEŁ OLKOWSKI,POLSKA,OBROŃCA,GÓRNIK ZABRZE,0.174672489,225,1.7,14,1918,False,10
MAKSYM CZEKAŁA,POLSKA,POMOCNIK,LECH POZNAŃ,0.474741550,40,0.7,0,1911,True,10
MACIEJ KIKOLSKI,POLSKA,BRAMKARZ,RADOMIAK RADOM,0.305219699,2198,1.6,22,1906,True,10
WŁADYSŁAW KOCZERHIN,UKRAINA,POMOCNIK,RAKÓW CZĘSTOCHOWA,0.676373548,3274,2.1,35,1900,False,10
MARC GUAL,HISZPANIA,NAPASTNIK,LEGIA WARSZAWA,0.589519651,7534,2.3,21,1898,False,10
KACPER ŁUKASIAK,POLSKA,POMOCNIK,POGOŃ SZCZECIN,0.421097570,8017,0.9,30,1889,True,10
VIRGIL GHIȚĂ,RUMUNIA,OBROŃCA,CRACOVIA,0.531730738,6505,1.8,51,1886,False,10
ILJA SZKURIN,BIAŁORUŚ,NAPASTNIK,PGE FKS STAL MIELEC,0.213900774,4853,2.3,28,1880,False,10
LUIZ GUSTAVO,BRAZYLIA,POMOCNIK,RADOMIAK RADOM,0.305219699,45,1.8,7,1879,False,10
JAKUB SNOPCZYŃSKI,POLSKA,POMOCNIK,RADOMIAK RADOM,0.305219699,74,0.7,0,1870,True,10
MAKSYMILIAN PINGOT,POLSKA,OBROŃCA,LECH POZNAŃ,0.474741550,419,1.7,2,1859,True,10
JAKUB ANTCZAK,POLSKA,POMOCNIK,GKS KATOWICE,0.306993713,127,1.4,2,1858,True,10
NIKODEM ZIELONKA,POLSKA,POMOCNIK,GÓRNIK ZABRZE,0.174672489,293,1,2,1854,True,10
BOGDAN RACOVIȚAN,RUMUNIA,OBROŃCA,RAKÓW CZĘSTOCHOWA,0.676373548,820,2.1,13,1853,False,10
FILIP WILAK,POLSKA,POMOCNIK,LECH POZNAŃ,0.474741550,31,1.5,0,1851,True,10
CONSTANTIN REINER,AUSTRIA,OBROŃCA,PIAST GLIWICE,0.447992056,22,1.8,0,1843,False,10
LUIS FERNÁNDEZ,HISZPANIA,POMOCNIK,LECHIA GDAŃSK,0.360182070,166,1.8,0,1838,False,10
WAHAN BICZACHCZJAN,ARMENIA,POMOCNIK,POGOŃ SZCZECIN,0.421097570,9786,2,42,1835,False,10
TIHOMIR KOSTADINOV,MACEDONIA PÓŁNOCNA,POMOCNIK,PIAST GLIWICE,0.447992056,28,1.8,14,1833,False,10
MIŁOSZ PIEKUTOWSKI,POLSKA,BRAMKARZ,JAGIELLONIA BIAŁYSTOK,0.278018599,669,0.7,0,1830,True,10
ALEXANDER STEFFEN,POLSKA,BRAMKARZ,KGHM ZAGŁĘBIE LUBIN,0.420524919,933,0.7,0,1822,True,10
PATRYK KUSZTAL,POLSKA,NAPASTNIK,KGHM ZAGŁĘBIE LUBIN,0.420524919,1537,0.7,8,1814,True,10
JURGEN ÇELHAKA,ALBANIA,POMOCNIK,LEGIA WARSZAWA,0.589519651,42,1.8,9,1800,False,10
SŁAWOMIR ABRAMOWICZ,POLSKA,BRAMKARZ,JAGIELLONIA BIAŁYSTOK,0.278018599,6927,1.5,22,1795,True,10
KAMIL GROSICKI,POLSKA,POMOCNIK,POGOŃ SZCZECIN,0.421097570,10817,4,44,1794,False,10
ADRIEL BA LOUA,WYBRZEŻE KOŚCI SŁONIOWEJ,POMOCNIK,LECH POZNAŃ,0.474741550,431,1.9,16,1791,False,10
RAPHAEL ROSSI,BRAZYLIA,OBROŃCA,RADOMIAK RADOM,0.305219699,268,1.7,10,1781,False,10
SZYMON WEIRAUCH,POLSKA,BRAMKARZ,LECHIA GDAŃSK,0.360182070,1127,1.2,10,1773,True,10
KACPER LEPCZYŃSKI,POLSKA,OBROŃCA,KGHM ZAGŁĘBIE LUBIN,0.420524919,337,0.9,0,1772,False,10
BARTŁOMIEJ KŁUDKA,POLSKA,OBROŃCA,KGHM ZAGŁĘBIE LUBIN,0.420524919,140,1.7,6,1771,False,10
TOMASZ PIEŃKO,POLSKA,POMOCNIK,KGHM ZAGŁĘBIE LUBIN,0.420524919,2372,1.7,25,1770,True,10
JAKUB MĄDRZYK,POLSKA,BRAMKARZ,PGE FKS STAL MIELEC,0.213900774,341,1.5,14,1766,True,10
BARTOSZ MROZEK,POLSKA,BRAMKARZ,LECH POZNAŃ,0.474741550,9193,2.3,51,1757,False,10
KONRAD MATUSZEWSKI,POLSKA,OBROŃCA,KORONA KIELCE,0.255333969,86,1.9,21,1756,False,10
MICHAŁ KRÓL,POLSKA,POMOCNIK,MOTOR LUBLIN,0.366492147,169,1.6,19,1754,False,10
KOKI HINOKIO,JAPONIA,POMOCNIK,PGE FKS STAL MIELEC,0.213900774,286,1.8,17,1751,False,10
IGOR DRAPIŃSKI,POLSKA,OBROŃCA,PIAST GLIWICE,0.447992056,382,1.4,17,1747,True,10
KACPER ROSA,POLSKA,BRAMKARZ,MOTOR LUBLIN,0.366492147,177,1.6,0,1744,False,10
MIKOŁAJ BIEGAŃSKI,POLSKA,BRAMKARZ,WIDZEW ŁÓDŹ,0.367108648,30,1.5,0,1739,False,10
MIGUEL MUÑOZ,HISZPANIA,OBROŃCA,PIAST GLIWICE,0.447992056,42,1.7,3,1720,False,10
MICHAEL AMEYAW,POLSKA,POMOCNIK,RAKÓW CZĘSTOCHOWA,0.676373548,10345,2.1,45,1719,False,10
KACPER TOBIASZ,POLSKA,BRAMKARZ,LEGIA WARSZAWA,0.589519651,7715,1.8,32,1715,False,10
JOEL PEREIRA,PORTUGALIA,OBROŃCA,LECH POZNAŃ,0.474741550,19626,2.4,58,1712,False,10
LUKAS PODOLSKI,NIEMCY,POMOCNIK,GÓRNIK ZABRZE,0.174672489,2208,1.9,31,1702,False,10
KAROL KNAP,POLSKA,POMOCNIK,PGE FKS STAL MIELEC,0.213900774,63,1.8,4,1698,False,10
OTAR KAKABADZE,GRUZJA,OBROŃCA,CRACOVIA,0.531730738,2361,2,28,1697,False,10
JAKUB JUGAS,CZECHY,OBROŃCA,CRACOVIA,0.531730738,343,1.7,27,1696,False,10
ROSSI PEREIRA LEÂNDRO,BRAZYLIA,POMOCNIK,RADOMIAK RADOM,0.305219699,185,1.7,19,1688,False,10
MICHAŁ KAPUT,POLSKA,POMOCNIK,RADOMIAK RADOM,0.305219699,2,1.7,12,1681,False,10
FILIP MAJCHROWICZ,POLSKA,BRAMKARZ,GÓRNIK ZABRZE,0.174672489,404,1.8,0,1675,False,10
DAWID TKACZ,POLSKA,POMOCNIK,PGE FKS STAL MIELEC,0.213900774,84,1.4,4,1671,True,10
SERHIJ KRYKUN,UKRAINA,POMOCNIK,PGE FKS STAL MIELEC,0.213900774,50,1.8,9,1669,False,10
KACPER ŚPIEWAK,POLSKA,NAPASTNIK,MOTOR LUBLIN,0.366492147,89,1.6,0,1660,False,10
ADAM RADWAŃSKI,POLSKA,POMOCNIK,KGHM ZAGŁĘBIE LUBIN,0.420524919,71,1.7,15,1653,False,10
NORBERT PACŁAWSKI,POLSKA,NAPASTNIK,LECH POZNAŃ,0.474741550,164,0.7,0,1638,True,10
ADRIAN BUKOWSKI,POLSKA,POMOCNIK,PGE FKS STAL MIELEC,0.213900774,5,1.6,9,1637,True,10
ANTONI KOZUBAL,POLSKA,POMOCNIK,LECH POZNAŃ,0.474741550,6493,1.7,36,1632,True,10
JAKUB ORPIK,POLSKA,POMOCNIK,JAGIELLONIA BIAŁYSTOK,0.278018599,17,0.7,0,1622,True,10
KRYSTIAN PALACZ,POLSKA,OBROŃCA,MOTOR LUBLIN,0.366492147,436,1.4,8,1618,True,10
ADAM ZREĽÁK,SŁOWACJA,NAPASTNIK,GKS KATOWICE,0.306993713,2995,1.8,25,1616,False,10
YEHOR MATSENKO,UKRAINA,OBROŃCA,ŚLĄSK WROCŁAW,0.340314136,443,2,6,1582,False,10
PATRYK KONIK,POLSKA,OBROŃCA,LEGIA WARSZAWA,0.589519651,143,0.7,0,1580,False,10
BARTOSZ SALAMON,POLSKA,OBROŃCA,LECH POZNAŃ,0.474741550,1926,2.1,1,1574,False,10
ANTONIO MILIĆ,CHORWACJA,OBROŃCA,LECH POZNAŃ,0.474741550,2565,2,39,1573,False,10
OSKAR WÓJCIK,POLSKA,OBROŃCA,CRACOVIA,0.531730738,537,0.7,0,1569,True,10
SZYMON PANKIEWICZ,POLSKA,OBROŃCA,JAGIELLONIA BIAŁYSTOK,0.278018599,207,0.7,0,1561,False,10
LUKA ZAHOVIČ,SŁOWENIA,NAPASTNIK,GÓRNIK ZABRZE,0.174672489,2069,1.9,26,1553,False,10
MATEJ RODIN,BOŚNIA I HERCEGOWINA,OBROŃCA,RAKÓW CZĘSTOCHOWA,0.676373548,572,1.8,22,1545,False,10
NORBERT WOJTUSZEK,POLSKA,POMOCNIK,GÓRNIK ZABRZE,0.174672489,47,1.7,16,1540,False,10
IVÁN LÓPEZ,HISZPANIA,POMOCNIK,RAKÓW CZĘSTOCHOWA,0.676373548,849,2.1,3,1539,False,10
MARIUSZ FORNALCZYK,POLSKA,POMOCNIK,KORONA KIELCE,0.255333969,186,1.7,9,1529,True,10
DAWID ABRAMOWICZ,POLSKA,OBROŃCA,PUSZCZA NIEPOŁOMICE,0.116303256,2011,1.8,27,1524,False,10
SAMUEL MRÁZ,SŁOWAJA,NAPASTNIK,MOTOR LUBLIN,0.366492147,2130,1.8,23,1522,False,10
BARTOSZ KAPUSTKA,POLSKA,POMOCNIK,LEGIA WARSZAWA,0.589519651,11504,2.1,45,1521,False,10
MILAN RUNDIĆ,SERBIA,OBROŃCA,RAKÓW CZĘSTOCHOWA,0.676373548,130,1.9,6,1506,False,10
MATEUSZ BARTOLEWSKI,POLSKA,OBROŃCA,ŚLĄSK WROCŁAW,0.340314136,32,1.7,0,1505,False,10
FRYDERYK GERBOWSKI,POLSKA,POMOCNIK,PGE FKS STAL MIELEC,0.213900774,154,1.7,10,1498,True,10
MICHAŁ SZROMNIK,POLSKA,BRAMKARZ,GÓRNIK ZABRZE,0.174672489,1647,1.7,28,1493,False,10
PATRYK JANASIK,POLSKA,OBROŃCA,CRACOVIA,0.531730738,67,1.7,4,1491,False,10
KACPER TRELOWSKI,POLSKA,BRAMKARZ,RAKÓW CZĘSTOCHOWA,0.676373548,10406,1.9,44,1490,True,10
ALEXANDER GORGON,AUSTRIA,POMOCNIK,POGOŃ SZCZECIN,0.421097570,877,2.1,36,1486,False,10
LUÍS MATA,PORTUGALIA,OBROŃCA,KGHM ZAGŁĘBIE LUBIN,0.420524919,156,1.8,19,1483,False,10
ARKADIUSZ PYRKA,POLSKA,OBROŃCA,PIAST GLIWICE,0.447992056,8993,1.9,37,1480,False,10
KACPER SEZONIENKO,POLSKA,NAPASTNIK,LECHIA GDAŃSK,0.360182070,1780,1.6,14,1477,True,10
MIKAEL ISHAK,SZWECJA,NAPASTNIK,LECH POZNAŃ,0.474741550,22080,3.1,44,1475,False,10
KAMIL LUKOSZEK,POLSKA,POMOCNIK,GÓRNIK ZABRZE,0.174672489,229,1.7,24,1471,False,10
KAJETAN SZMYT,POLSKA,POMOCNIK,KGHM ZAGŁĘBIE LUBIN,0.420524919,84,2,8,1464,False,10
MATEUSZ CZYŻYCKI,POLSKA,POMOCNIK,KORONA KIELCE,0.255333969,15,1.6,0,1457,False,10
ALEKS ŁAWNICZAK,POLSKA,OBROŃCA,KGHM ZAGŁĘBIE LUBIN,0.420524919,600,1.9,19,1455,False,10
ROBERT DADOK,POLSKA,POMOCNIK,PGE FKS STAL MIELEC,0.213900774,7,1.7,12,1444,False,10
WOJCIECH LISOWSKI,POLSKA,OBROŃCA,POGOŃ SZCZECIN,0.421097570,64,1.6,6,1440,False,10
KRYSTIAN GETINGER,POLSKA,OBROŃCA,PGE FKS STAL MIELEC,0.213900774,768,1.9,12,1438,False,10
RAFAŁ STRĄCZEK,POLSKA,BRAMKARZ,GKS KATOWICE,0.306993713,76,1.8,0,1435,False,10
MATEUSZ DUDEK,POLSKA,BRAMKARZ,PGE FKS STAL MIELEC,0.213900774,1077,0.7,0,1433,False,10
MATEUSZ MARZEC,POLSKA,POMOCNIK,GKS KATOWICE,0.306993713,267,1.6,15,1424,False,10
ALEKSANDER KOMOR,POLSKA,OBROŃCA,GKS KATOWICE,0.306993713,131,1.6,9,1416,False,10
RAFAŁ LESZCZYŃSKI,POLSKA,BRAMKARZ,ŚLĄSK WROCŁAW,0.340314136,2331,1.9,15,1411,False,10
RADOSŁAW CIELEMĘCKI,POLSKA,POMOCNIK,RADOMIAK RADOM,0.305219699,111,1.4,9,1402,True,10
KRYSPIN SZCZEŚNIAK,POLSKA,OBROŃCA,GÓRNIK ZABRZE,0.174672489,120,1.7,4,1401,False,10
XAVIER DZIEKOŃSKI,POLSKA,BRAMKARZ,KORONA KIELCE,0.255333969,1471,1.7,22,1400,True,10
JAKUB SYPEK,POLSKA,POMOCNIK,WIDZEW ŁÓDŹ,0.367108648,795,1.5,27,1398,False,10
KAMIL KRUK,POLSKA,OBROŃCA,MOTOR LUBLIN,0.366492147,129,1.7,2,1393,False,10
FILIP BEDNAREK,-,BRAMKARZ,LECH POZNAŃ,0.474741550,304,1.8,0,1389,False,10
ARIEL MOSÓR,POLSKA,OBROŃCA,RAKÓW CZĘSTOCHOWA,0.676373548,3702,2,21,1386,True,10
BEN LEDERMAN,USA,POMOCNIK,RAKÓW CZĘSTOCHOWA,0.676373548,408,1.8,3,1373,False,10
TOMAS PEKHART,CZECHY,NAPASTNIK,LEGIA WARSZAWA,0.589519651,798,1.8,7,1362,False,10
KACPER CHODYNA,POLSKA,OBROŃCA,LEGIA WARSZAWA,0.589519651,1226,2.2,9,1360,False,10
KRZYSZTOF KAMIŃSKI,POLSKA,BRAMKARZ,POGOŃ SZCZECIN,0.421097570,264,1.7,0,1358,False,10
FRAN TUDOR,CHORWACJA,OBROŃCA,RAKÓW CZĘSTOCHOWA,0.676373548,28901,2.2,45,1341,False,10
CONRADO BUCHANELLI HOLZ,BRAZYLIA,OBROŃCA,LECHIA GDAŃSK,0.360182070,862,1.7,22,1334,False,10
MACIEJ ROSOŁEK,POLSKA,NAPASTNIK,PIAST GLIWICE,0.447992056,744,1.8,19,1322,False,10
PAWEŁ WSZOŁEK,POLSKA,OBROŃCA,LEGIA WARSZAWA,0.589519651,11116,2.7,33,1319,False,10
MIKOŁAJ WASILEWSKI,-,POMOCNIK,JAGIELLONIA BIAŁYSTOK,0.278018599,107,0.7,0,1316,False,10
JEAN CARLOS SILVA,BRAZYLIA,OBROŃCA,RAKÓW CZĘSTOCHOWA,0.676373548,14580,2.1,54,1299,False,10
LUCAS LUQUINHAS,BRAZYLIA,POMOCNIK,LEGIA WARSZAWA,0.589519651,19433,2.4,38,1285,False,10
SEBASTIAN MUSIOLIK,POLSKA,NAPASTNIK,ŚLĄSK WROCŁAW,0.340314136,1083,1.8,17,1269,False,10
PETR SCHWARZ,CZECHY,POMOCNIK,ŚLĄSK WROCŁAW,0.340314136,1040,2.1,29,1268,False,10
MACIEJ DOMAŃSKI,POLSKA,POMOCNIK,PGE FKS STAL MIELEC,0.213900774,1352,2.1,27,1263,False,10
MARCEL WĘDRYCHOWSKI,POLSKA,POMOCNIK,POGOŃ SZCZECIN,0.421097570,167,1.8,0,1252,True,10
KACPER SMOLIŃSKI,POLSKA,POMOCNIK,POGOŃ SZCZECIN,0.421097570,34,1.6,0,1251,False,10
BENEDIKT ZECH,AUSTRIA,OBROŃCA,POGOŃ SZCZECIN,0.421097570,633,1.8,26,1250,False,10
WOJCIECH KAMIŃSKI,POLSKA,POMOCNIK,KORONA KIELCE,0.255333969,44,1.4,5,1244,False,10
TOMÁŠ HUK,SŁOWACJA,OBROŃCA,PIAST GLIWICE,0.447992056,283,1.8,29,1241,False,10
JAN GRZESIK,POLSKA,OBROŃCA,RADOMIAK RADOM,0.305219699,358,1.8,26,1225,False,10
FILIP SZYMCZAK,POLSKA,NAPASTNIK,LECH POZNAŃ,0.474741550,749,1.8,23,1214,False,10
ALEKSANDER PALUSZEK,POLSKA,OBROŃCA,ŚLĄSK WROCŁAW,0.340314136,59,1.7,1,1194,False,10
ERIK JANŽA,SŁOWENIA,OBROŃCA,GÓRNIK ZABRZE,0.174672489,7378,2.1,34,1192,False,10
MICHAŁ RAKOCZY,POLSKA,POMOCNIK,CRACOVIA,0.531730738,1947,2,13,1186,False,10
